dataset,fold,case,deepbranchai_dice,scratch_dice,deepbranchai_cldice,scratch_cldice,deepbranchai_abs_cc_error,scratch_abs_cc_error
3D-IRCADb venous CT,0,ircad_16_010,0.666395969729854,0.6549991564771552,0.5191816892849909,0.3511576957595027,23.0,11.0
3D-IRCADb venous CT,0,ircad_17_011,0.7981384573011682,0.7548738520179932,0.7098080223862099,0.6647985054710435,28.0,27.0
3D-IRCADb venous CT,0,ircad_19_012,0.5931251564903244,0.5553716718111351,0.5688375228881217,0.4734249373805348,48.0,39.0
3D-IRCADb venous CT,1,ircad_01_001,0.770357725509686,0.6937365301724138,0.6771131694677747,0.6371760814950657,42.0,31.0
3D-IRCADb venous CT,1,ircad_04_002,0.7737044345207187,0.7575710238667213,0.6823736331008474,0.6751060185302215,18.0,30.0
3D-IRCADb venous CT,1,ircad_05_003,0.8537326261708715,0.8216875181262688,0.7630981795253422,0.6626814149462057,13.0,18.0
3D-IRCADb venous CT,2,ircad_06_004,0.6465290567481499,0.5942054433713784,0.39099486408991,0.4082993970806007,14.0,20.0
3D-IRCADb venous CT,2,ircad_07_005,0.7142615217128342,0.7093782335328312,0.5741158651540756,0.5455388715814576,26.0,27.0
3D-IRCADb venous CT,3,ircad_08_006,0.5152597979890677,0.386622995030756,0.5822855214585847,0.4266931918283395,17.0,16.0
3D-IRCADb venous CT,3,ircad_09_007,0.6409461895214371,0.6065504083884092,0.6530373250062242,0.5737904334532177,42.0,45.0
3D-IRCADb venous CT,4,ircad_14_008,0.6788670106349374,0.6472874076313613,0.7350979645391527,0.7139321253304579,43.0,22.0
3D-IRCADb venous CT,4,ircad_15_009,0.6212882695051026,0.607068836536221,0.739059891196893,0.6558110725527998,15.0,22.0
AeroPath airway CT,0,airway_021,0.8941200091517367,0.8852264826307522,0.8551388334693877,0.8201093111649066,36.0,45.0
AeroPath airway CT,0,airway_022,0.8827143766851383,0.901655210555424,0.8270848077248708,0.8390106592387299,38.0,32.0
AeroPath airway CT,0,airway_023,0.8945535636277402,0.8989184813069562,0.8193881471360986,0.8101975960601724,34.0,24.0
AeroPath airway CT,0,airway_024,0.9098172661823696,0.8901160182039612,0.7552067317732623,0.7346191319484041,44.0,53.0
AeroPath airway CT,0,airway_025,0.8746023984900343,0.8350205141949982,0.8337092297129214,0.8183435858849347,40.0,38.0
AeroPath airway CT,0,airway_026,0.944189414768264,0.935445313915818,0.8513056561112502,0.8198194579681364,53.0,76.0
AeroPath airway CT,1,airway_000,0.8967940137536388,0.9002447651712205,0.7901950361299126,0.7949028500026086,92.0,78.0
AeroPath airway CT,1,airway_001,0.90140584003656,0.8951084021294653,0.8341212418342951,0.8345636790616626,49.0,54.0
AeroPath airway CT,1,airway_002,0.9068420154920216,0.892696050963514,0.7986632073138777,0.7702259939946792,52.0,54.0
AeroPath airway CT,1,airway_003,0.8929465720900739,0.8844382975453777,0.8787162925691991,0.8510750876052846,30.0,50.0
AeroPath airway CT,1,airway_004,0.8942778280333078,0.8957208022590688,0.8827874773485367,0.862783179648597,23.0,27.0
AeroPath airway CT,1,airway_005,0.7975928098447401,0.7937144602891466,0.8577708327048749,0.8431502545555296,36.0,33.0
AeroPath airway CT,2,airway_006,0.7687428117623809,0.7401565625691294,0.833139310765243,0.7851308643545958,118.0,134.0
AeroPath airway CT,2,airway_007,0.90303696204499,0.9055872476256436,0.8910576447564722,0.8747994616441455,62.0,64.0
AeroPath airway CT,2,airway_008,0.8686478737515838,0.8764676999921197,0.8087735501663263,0.7837617542394782,58.0,60.0
AeroPath airway CT,2,airway_009,0.7885966033442684,0.8807345939712925,0.8054176024391237,0.8018931660950731,82.0,74.0
AeroPath airway CT,2,airway_010,0.7868954041500735,0.7255191940641866,0.8251911446588169,0.7927583262202482,61.0,63.0
AeroPath airway CT,3,airway_011,0.9221828407880724,0.9130971296506468,0.8873515704971943,0.8775228824845318,46.0,53.0
AeroPath airway CT,3,airway_012,0.9226462239451758,0.9356097250798237,0.8428330285226913,0.8438439787870744,35.0,58.0
AeroPath airway CT,3,airway_013,0.906879230098121,0.9002907421576128,0.8858652003541265,0.8900589266574085,31.0,41.0
AeroPath airway CT,3,airway_014,0.8315576070647256,0.8395860976012157,0.8550428795316578,0.8645189961260198,37.0,40.0
AeroPath airway CT,3,airway_015,0.9243047045206972,0.9270591014254952,0.8315589113398802,0.7874313219463456,28.0,42.0
AeroPath airway CT,4,airway_016,0.8410652073457563,0.8812071083940184,0.8548504800649165,0.8352377573449984,20.0,23.0
AeroPath airway CT,4,airway_017,0.8937881818673299,0.890246657272248,0.8081282902530972,0.7854296223486905,100.0,124.0
AeroPath airway CT,4,airway_018,0.9061384246037616,0.8884376116633709,0.8626147824131182,0.8387395365853796,60.0,71.0
AeroPath airway CT,4,airway_019,0.9003532468543514,0.9224020744565404,0.8533361244673208,0.8527099316147662,7.0,31.0
AeroPath airway CT,4,airway_020,0.9168837319441157,0.9002941118078659,0.8266887629947929,0.8192345225321115,55.0,55.0
Plant CT roots,0,plant_000,0.7451109827543527,0.8155646233965327,0.9109871682107012,0.931742390654818,19.0,10.0
Plant CT roots,0,plant_005,0.5735647580775406,0.5370094816250259,0.2923206850688766,0.2608646254019633,108.0,136.0
Plant CT roots,0,plant_010,0.0,0.0,0.0,0.0,3.0,2.0
Plant CT roots,0,plant_015,0.6443894984685813,0.7604658301676835,0.6075937056706868,0.7762488210747748,59.0,93.0
Plant CT roots,0,plant_020,0.7860573964033527,0.7772791418921344,0.8246134587033016,0.730726838746362,38.0,76.0
Plant CT roots,0,plant_025,0.7991241978104945,0.5534543113507424,0.8410234526413114,0.7221846031708968,4.0,5.0
