"fold","case_id","shape","n_voxels","tp","tn","fp","fn","precision","sensitivity","specificity","accuracy","dice","cldice","pred_voxels","gt_voxels","pred_connected_components","gt_connected_components","abs_cc_error","avd_percent","kappa"
"0","source_subject_04_volume_01","128x996x2666","339883008","33106765","302904210","3465234","406799","0.9052489857062503","0.9878616610277559","0.9886893615931228","0.988607747640035","0.9447527731210492","0.9546389287940249","36571999","33513564","397","429","32","9.125961655406151","0.9384153326880312"
"0","source_subject_04_volume_02","128x957x2671","327186816","26025260","297111077","2239694","1810785","0.9207607413760518","0.934948193969366","0.9925181619124676","0.9876202866315983","0.9278002340029631","0.9410568541061666","28264954","27836045","422","285","137","1.5408403025645345","0.9210303772114505"
"0","source_subject_08_volume_01","128x995x2665","339414400","24834061","313462977","752968","364394","0.9705722770705423","0.9855390340399838","0.9976036607562992","0.9967079711408826","0.9779983981249445","0.9810752184956084","25587029","25198455","576","485","91","1.542054860109479","0.9762193945599283"
"0","source_subject_08_volume_02","128x1008x2675","345139200","56802999","284036318","2349814","1950069","0.960275532458617","0.9668090694429778","0.9917949448753336","0.9875415977089823","0.9635312253847627","0.9610962050105568","59152813","58753068","546","355","191","0.6803814908865695","0.9560189440462918"
"1","source_subject_09_volume_01","128x1010x2950","381376000","20356613","358291911","845901","1881575","0.960103740528128","0.9153899139624145","0.9976446339768869","0.9928483281590871","0.9372138139019945","0.9145149097541456","21202514","22238188","702","223","479","4.657186997429827","0.9334243111554106"
"1","source_subject_09_volume_02","128x1006x2988","384758784","23478280","357329480","446682","3504342","0.9813298763024159","0.8701259647783673","0.9987515042994956","0.989731166215558","0.9223883026937597","0.8921773487021075","23924962","26982622","451","364","87","11.331960252046668","0.9169113893612802"
"1","source_subject_07_volume_01","128x1074x2673","367462656","22275756","337351038","353147","7482715","0.9843939849846013","0.7485517653107917","0.9989542711767104","0.9786757596396408","0.8504246080362798","0.796316037943566","22628903","29758471","810","263","547","23.95811263287015","0.8391727594000897"
"1","source_subject_07_volume_02","128x1346x2667","459492096","40714303","415034633","577569","3165591","0.9860125256612245","0.9278578248160764","0.9986103175093979","0.991853701004685","0.9560516333546495","0.9674924983456776","41291872","43879894","751","448","303","5.897967757169149","0.9515669901185638"
"2","source_subject_02_volume_01","128x1138x2064","300650496","34845336","262744563","2436513","624084","0.9346461330284342","0.9824050125431992","0.9908118896085933","0.9898200833169422","0.9579306719721962","0.959464390215584","37281849","35469420","360","305","55","5.109835458262356","0.9521442037178252"
"2","source_subject_02_volume_02","128x1003x2329","299006336","18186259","278604167","1695620","520290","0.9147153043230974","0.9721867459358752","0.993950691086326","0.9925890868078461","0.9425757898196838","0.93737654579071","19881879","18706549","1021","1146","125","6.2829867764492535","0.9386186630496984"
"2","source_subject_10_volume_01","128x996x2665","339755520","41918080","295262275","1970053","605112","0.9551119433583561","0.985769835905075","0.9933720096556926","0.9924205352130849","0.9701987557765143","0.9835380183843011","43888133","42523192","813","662","151","3.2098742728438636","0.9658581216101829"
"2","source_subject_10_volume_02","128x795x2669","271597440","18552202","251719844","935434","389960","0.951998590285656","0.979413120846501","0.9962975877353332","0.9951200055493896","0.9655112941265005","0.9504918388523719","19487636","18942162","170","148","22","2.8796818441316256","0.9628860993702154"
"3","source_subject_05_volume_01","128x1130x2076","300272640","52173047","240967198","385175","6747220","0.9926714606137171","0.8854855834241213","0.9984040969010899","0.9762469367838509","0.9360199885737598","0.9640624966680965","52558222","58920267","263","259","4","10.797719229615847","0.9214945875839508"
"3","source_subject_05_volume_02","128x1128x1993","287757312","47078278","237006275","961163","2711596","0.9799922109834709","0.9455392074300087","0.995960947396509","0.9872366092994364","0.9624574801530604","0.982769726378424","48039441","49789874","403","265","138","3.515640549723022","0.9547717875380655"
"3","source_subject_01_volume_01","128x1073x2339","321247616","20609090","296718700","831920","3087906","0.9611995890118983","0.8696920909300064","0.997204105976993","0.9877981164535709","0.9131590792911853","0.951193629087811","21441010","23696996","553","259","294","9.520134957190354","0.9066147598998552"
"3","source_subject_01_volume_02","128x1006x2672","344068096","28237940","308362173","2282965","5185018","0.9251999572096568","0.8448665734493039","0.9926508909339505","0.9782950436648448","0.8832103246561753","0.8875928510000451","30520905","33422958","749","302","447","8.682813172909471","0.8712732528196893"
"4","source_subject_06_volume_01","128x1039x2434","323702528","32742803","287548460","1232230","2179035","0.9637313082227176","0.93760251107058","0.9957329903187087","0.9894617288870848","0.9504873740927944","0.908394520598555","33975033","34921838","360","323","37","2.7112118210960143","0.9445919621412608"
"4","source_subject_06_volume_02","128x1063x2336","317845504","24020342","292314414","391609","1119139","0.983958307961539","0.9554828120755556","0.9986621081589429","0.9952469109017191","0.9695115168417332","0.9598963235880301","24411951","25139481","397","235","162","2.893973825473963","0.9669346650753524"
"4","source_subject_03_volume_01","128x1068x2167","296237568","42820060","246340797","4410881","2665830","0.9066103510408569","0.9413921547978945","0.9824093659704244","0.9761113654565244","0.9236739335924887","0.9401272219212979","47230941","45485890","367","111","256","3.8364666493279564","0.9095196130333736"
"4","source_subject_03_volume_02","128x1228x2114","332286976","28301197","301832012","2093724","60043","0.9311159913855345","0.9978829204928981","0.9931110671062091","0.9935183526422655","0.963343980216815","0.9868427021010404","30394921","28361240","295","392","97","7.17063499339239","0.9597935119260438"
