"fold","case_id","volume_name","shape","n_voxels","tp","tn","fp","fn","precision","sensitivity","specificity","accuracy","dice","cldice","pred_voxels","gt_voxels","pred_connected_components","gt_connected_components","abs_cc_error","avd_percent","kappa"
"0","source_subject_04_volume_01","source_subject_04_volume_01.tiff","128x996x2666","339883008","33060511","303386718","2982726","453053","0.9172458899848535","0.986481503429477","0.9902642836666179","0.9898912892991697","0.9506047007538486","0.9535023133461816","36043237","33513564","478","429","49","7.548206451572861","0.9449825021861921"
"0","source_subject_04_volume_02","source_subject_04_volume_02.tiff","128x957x2671","327186816","25586239","297133060","2217711","2249806","0.9202375561745724","0.919176520946133","0.9925915975008462","0.9863456692582625","0.9197067325401449","0.9188307990844314","27803950","27836045","503","285","218","0.1153001441117084","0.912245125075199"
"0","source_subject_08_volume_01","source_subject_08_volume_01.tiff","128x995x2665","339414400","24956932","313105517","1110428","241523","0.9574015934103032","0.9904151663266657","0.9964660354839726","0.9960168130756974","0.9736286061189118","0.9830206610695502","26067360","25198455","500","485","15","3.448247124674906","0.9714749881680528"
"0","source_subject_08_volume_02","source_subject_08_volume_02.tiff","128x1008x2675","345139200","57310577","283288278","3097854","1442491","0.9487181847182887","0.9754482438261777","0.9891829468893417","0.9868448875120531","0.9618975504831473","0.9492641545104824","60408431","58753068","542","355","187","2.8174920159063013","0.9539494648665907"
"1","source_subject_07_volume_02","source_subject_07_volume_02.tiff","128x1346x2667","459492096","39882692","415147598","464604","3997202","0.9884848788875468","0.9089058419329819","0.9988821213675532","0.990289700217172","0.9470265362052326","0.9559073146522645","40347296","43879894","722","448","274","8.050607414867502","0.9416918496423083"
"1","source_subject_07_volume_01","source_subject_07_volume_01.tiff","128x1074x2673","367462656","24451391","337581694","122491","5307080","0.9950153988694176","0.8216615363067544","0.9996372831447143","0.9852241556758355","0.9000674423211525","0.8988378902585588","24573882","29758471","587","263","324","17.422229119231293","0.8921681200778587"
"1","source_subject_09_volume_01","source_subject_09_volume_01.tiff","128x1010x2950","381376000","19761846","358713800","424012","2476342","0.9789946010717008","0.8886446143903451","0.9988193612985535","0.9923950274794429","0.9316341963234719","0.9300933837263105","20185858","22238188","341","223","118","9.22885443724102","0.9276177375241885"
"1","source_subject_09_volume_02","source_subject_09_volume_02.tiff","128x1006x2988","384758784","23290033","357483582","292580","3692589","0.9875934019694934","0.8631493633198434","0.9991822261204758","0.9896424223026965","0.9211875708676129","0.8933285888125093","23582613","26982622","461","364","97","12.600736133056305","0.9156713636356905"
"2","source_subject_02_volume_01","source_subject_02_volume_01.tiff","128x1138x2064","300650496","34262761","263547820","1633256","1206659","0.9545003558472797","0.965980300777402","0.9938409783057068","0.9905540984040153","0.9602060168145541","0.9545933735366605","35896017","35469420","381","305","76","1.2027177213498275","0.9548472522785361"
"2","source_subject_02_volume_02","source_subject_02_volume_02.tiff","128x1003x2329","299006336","17648312","279377097","922690","1058237","0.9503155510941197","0.9434295978376342","0.9967082029926766","0.9933749664756268","0.9468600552648966","0.9419373247485534","18571002","18706549","1188","1146","42","0.7245965036095113","0.9433273729099455"
"2","source_subject_10_volume_02","source_subject_10_volume_02.tiff","128x795x2669","271597440","18531650","251766008","889270","410512","0.9542107171030003","0.9783281338212607","0.9964803030950337","0.9952143068800648","0.9661189369508946","0.9326878252689914","19420920","18942162","247","148","99","2.527472840745423","0.9635446851024027"
"2","source_subject_10_volume_01","source_subject_10_volume_01.tiff","128x996x2665","339755520","41986265","295427009","1805319","536927","0.9587747499610885","0.9873733138377758","0.9939262360452259","0.9931060840453747","0.9728639045532598","0.9861963161402246","43791584","42523192","693","662","31","2.9828240551650027","0.9689163634522209"
"3","source_subject_01_volume_01","source_subject_01_volume_01.tiff","128x1073x2339","321247616","18027828","294999149","2551471","5669168","0.8760175941853025","0.7607642757757144","0.9914250859231952","0.9744102723551418","0.8143331776066629","0.8250397502391309","20579299","23696996","1089","259","830","13.156507263621094","0.8006644718909005"
